antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Storage'}),frozenset({'Labels'}),0.15459610027855153,0.06884202148826105,0.012136888181456426,0.07850707850707851,1.1403947299901058,1.0,0.0014941801240790226,1.0104884766810351,0.14562346395873277,0.057438794726930316,0.01037961037961038,0.1274038282708803
frozenset({'Labels'}),frozenset({'Storage'}),0.06884202148826105,0.15459610027855153,0.012136888181456426,0.17630057803468208,1.1403947299901056,1.0,0.0014941801240790226,1.0263499975565655,0.13221241417962726,0.057438794726930316,0.025673500871337285,0.1274038282708803
"frozenset({'Paper', 'Storage'})",frozenset({'Binders'}),0.0354158376442499,0.26263430163151613,0.01054516514126542,0.29775280898876405,1.133716377255703,1.0,0.001243751354872688,1.050008754476721,0.12227567096332272,0.03667820069204152,0.04762698812129737,0.1689521620701396
frozenset({'Binders'}),"frozenset({'Paper', 'Storage'})",0.26263430163151613,0.0354158376442499,0.01054516514126542,0.040151515151515146,1.1337163772557028,1.0,0.001243751354872688,1.0049337760928099,0.15995479029416854,0.03667820069204152,0.0049095534553455274,0.1689521620701396
"frozenset({'Binders', 'Storage'})",frozenset({'Paper'}),0.039594110624751294,0.2373656983684839,0.01054516514126542,0.2663316582914573,1.1220309426428032,1.0,0.0011468814215423208,1.0394810001689843,0.11324272664376085,0.039581777445855115,0.037981454362865694,0.1553787377794252
frozenset({'Paper'}),"frozenset({'Binders', 'Storage'})",0.2373656983684839,0.039594110624751294,0.01054516514126542,0.04442581726739313,1.1220309426428032,1.0,0.0011468814215423208,1.005056338618133,0.1426096116643448,0.039581777445855115,0.005030900680737074,0.1553787377794252
frozenset({'Fasteners'}),frozenset({'Binders'}),0.04277755670513331,0.26263430163151613,0.012335853561480302,0.2883720930232558,1.09799859055673,1.0,0.0011009998307250357,1.0361674846354512,0.09324062464379336,0.042090970807875085,0.034905056539364133,0.16767089499647636
frozenset({'Binders'}),frozenset({'Fasteners'}),0.26263430163151613,0.04277755670513331,0.012335853561480302,0.04696969696969697,1.09799859055673,1.0,0.0011009998307250357,1.0043987481313388,0.12104172832198865,0.042090970807875085,0.004379483884784235,0.16767089499647636
frozenset({'Appliances'}),frozenset({'Binders'}),0.089733386390768,0.26263430163151613,0.02586549940310386,0.28824833702882485,1.09752738023248,1.0,0.0022984341353335103,1.0359873207607049,0.09762084909625886,0.07921998781230956,0.03473722123768851,0.19336659275683665
frozenset({'Binders'}),frozenset({'Appliances'}),0.26263430163151613,0.089733386390768,0.02586549940310386,0.09848484848484848,1.09752738023248,1.0,0.0022984341353335103,1.009707504171585,0.12051143675536544,0.07921998781230956,0.009614174532207321,0.19336659275683665
"frozenset({'Paper', 'Furnishings'})",frozenset({'Binders'}),0.035216872264226026,0.26263430163151613,0.010147234381217668,0.288135593220339,1.0970980996404724,1.0,0.0008980757284563559,1.0358232429462035,0.09173510608615476,0.035269709543568464,0.03458432043319582,0.16338597842835131
frozenset({'Binders'}),"frozenset({'Paper', 'Furnishings'})",0.26263430163151613,0.035216872264226026,0.010147234381217668,0.038636363636363635,1.0970980996404724,1.0,0.0008980757284563559,1.0035569177393393,0.12002793562109132,0.035269709543568464,0.0035443109169650696,0.16338597842835131
"frozenset({'Binders', 'Furnishings'})",frozenset({'Paper'}),0.03939514524472742,0.2373656983684839,0.010147234381217668,0.25757575757575757,1.085143132921842,1.0,0.0007961782178750876,1.027221712401634,0.08168039378137334,0.03805970149253732,0.0265003280917708,0.15016256445426604
frozenset({'Paper'}),"frozenset({'Binders', 'Furnishings'})",0.2373656983684839,0.03939514524472742,0.010147234381217668,0.04274937133277452,1.085143132921842,1.0,0.0007961782178750876,1.0035040207732402,0.10288362670922789,0.03805970149253732,0.003491785484367175,0.15016256445426604
"frozenset({'Binders', 'Paper'})",frozenset({'Furnishings'}),0.054715479506565856,0.17608436132113012,0.010147234381217668,0.18545454545454546,1.0532141756548536,1.0,0.0005126941179246364,1.011503574270934,0.05345004766798334,0.045987376014427414,0.01137274703080065,0.12154083204930663
frozenset({'Furnishings'}),"frozenset({'Binders', 'Paper'})",0.17608436132113012,0.054715479506565856,0.010147234381217668,0.0576271186440678,1.0532141756548536,1.0,0.0005126941179246364,1.0030896890128167,0.06132363595039576,0.045987376014427414,0.00308017223849395,0.12154083204930663
frozenset({'Tables'}),frozenset({'Phones'}),0.06108237166732988,0.16195781933943493,0.010346199761241544,0.1693811074918567,1.0458347005578277,1.0,0.0004534320459199121,1.0089370567168374,0.046677099124651664,0.04864359214218897,0.008857893222714106,0.11663158568696029
frozenset({'Phones'}),frozenset({'Tables'}),0.16195781933943493,0.06108237166732988,0.010346199761241544,0.06388206388206388,1.0458347005578277,1.0,0.0004534320459199121,1.0029907473265005,0.052295638834100475,0.04864359214218897,0.0029818294281104235,0.11663158568696029
frozenset({'Appliances'}),frozenset({'Phones'}),0.089733386390768,0.16195781933943493,0.015121368881814564,0.16851441241685144,1.0404833376008544,1.0,0.0005883453000228508,1.0078853959411063,0.04274374460742027,0.063919259882254,0.007823702945654182,0.1309402528914724
frozenset({'Phones'}),frozenset({'Appliances'}),0.16195781933943493,0.089733386390768,0.015121368881814564,0.09336609336609338,1.0404833376008544,1.0,0.0005883453000228508,1.0040068068806434,0.04642750037486888,0.063919259882254,0.0039908164498328605,0.1309402528914724
frozenset({'Art'}),frozenset({'Phones'}),0.1466374850775965,0.16195781933943493,0.024671707122960605,0.16824966078697423,1.0388486426478287,1.0,0.0009226198063741475,1.007564579358624,0.043821779646357285,0.08689558514365803,0.007507786114751315,0.1602919065605633
frozenset({'Phones'}),frozenset({'Art'}),0.16195781933943493,0.1466374850775965,0.024671707122960605,0.15233415233415235,1.0388486426478287,1.0,0.0009226198063741475,1.0067204161548355,0.044622890052997716,0.08689558514365803,0.00667555365620184,0.1602919065605633
frozenset({'Labels'}),frozenset({'Phones'}),0.06884202148826105,0.16195781933943493,0.011539992041384799,0.1676300578034682,1.035022936757041,1.0,0.00039048836222752015,1.0068145642658177,0.03633952254641919,0.052631578947368425,0.006768440294451867,0.11944156452826973
frozenset({'Phones'}),frozenset({'Labels'}),0.16195781933943493,0.06884202148826105,0.011539992041384799,0.07125307125307126,1.035022936757041,1.0,0.00039048836222752015,1.0025960244822163,0.04037724727379909,0.052631578947368425,0.0025893025893025928,0.11944156452826973
frozenset({'Phones'}),frozenset({'Furnishings'}),0.16195781933943493,0.17608436132113012,0.029446876243533624,0.18181818181818182,1.03256291730868,1.0,0.0009286370641862496,1.00700800282973,0.037630579297246045,0.09542230818826565,0.006959232508616729,0.17452491011813046
frozenset({'Furnishings'}),frozenset({'Phones'}),0.17608436132113012,0.16195781933943493,0.029446876243533624,0.1672316384180791,1.03256291730868,1.0,0.0009286370641862496,1.006332876369878,0.038275778797392024,0.09542230818826565,0.006293023430499892,0.17452491011813046
frozenset({'Appliances'}),frozenset({'Paper'}),0.089733386390768,0.2373656983684839,0.021687226422602467,0.24168514412416853,1.0181974303169077,1.0,0.00038759849498881324,1.0056961112158298,0.01963403017997701,0.07100977198697069,0.0056638493003054935,0.16652572378044134
frozenset({'Paper'}),frozenset({'Appliances'}),0.2373656983684839,0.089733386390768,0.021687226422602467,0.09136630343671416,1.0181974303169077,1.0,0.00038759849498881324,1.001797112579164,0.023434826004016387,0.07100977198697069,0.0017938887591093784,0.16652572378044134
frozenset({'Storage'}),frozenset({'Furnishings'}),0.15459610027855153,0.17608436132113012,0.027457222443294866,0.1776061776061776,1.0086425408459307,1.0,0.00023526686300873526,1.0018504714451986,0.010135377121982746,0.0905511811023622,0.0018470535253921054,0.16676919049800407
frozenset({'Furnishings'}),frozenset({'Storage'}),0.17608436132113012,0.15459610027855153,0.027457222443294866,0.15593220338983052,1.0086425408459307,1.0,0.00023526686300873526,1.0015829334049289,0.010399714414707726,0.0905511811023622,0.0015804316868176535,0.16676919049800407
frozenset({'Furnishings'}),frozenset({'Appliances'}),0.17608436132113012,0.089733386390768,0.01591723040191007,0.09039548022598871,1.0073784559109076,1.0,0.00011658437010949457,1.000727891980336,0.008889760927312324,0.06369426751592357,0.0007273625389768987,0.13388953612186355
frozenset({'Appliances'}),frozenset({'Furnishings'}),0.089733386390768,0.17608436132113012,0.01591723040191007,0.17738359201773837,1.0073784559109074,1.0,0.00011658437010949457,1.0015793882592192,0.008046448087431766,0.06369426751592357,0.0015768977254656104,0.13388953612186355
